repeat,seed,rows_per_class,silhouette_cosine,centroid_cosine_distance,same_label_purity_at_10,same_label_purity_at_20,same_label_purity_at_50
0,20260821,260,0.0027116427663713694,0.004655957221984863,0.5186538461538461,0.5181730769230769,0.5128076923076923
1,20260822,260,0.003489946248009801,0.005201876163482666,0.5248076923076923,0.51875,0.5146153846153846
2,20260823,260,0.00449769664555788,0.006056666374206543,0.5280769230769231,0.5221153846153846,0.5182692307692308
3,20260824,260,0.0035544682759791613,0.005316376686096191,0.5269230769230769,0.5211538461538462,0.5132692307692308
4,20260825,260,0.004037273116409779,0.005660533905029297,0.5417307692307692,0.5365384615384615,0.5251923076923077
5,20260826,260,0.0039018034003674984,0.005603790283203125,0.520576923076923,0.5151923076923077,0.5184615384615384
6,20260827,260,0.0036341161467134953,0.00533604621887207,0.5373076923076923,0.5310576923076923,0.5183461538461539
7,20260828,260,0.003715755185112357,0.005346357822418213,0.5405769230769231,0.5291346153846154,0.5170769230769231
8,20260829,260,0.004756829235702753,0.006161510944366455,0.5336538461538461,0.5294230769230769,0.5243846153846153
9,20260830,260,0.004189570900052786,0.005696713924407959,0.5223076923076924,0.5214423076923077,0.5185
10,20260831,260,0.0031232370529323816,0.0049481987953186035,0.5321153846153847,0.5294230769230769,0.5156153846153846
11,20260832,260,0.004133255686610937,0.005764782428741455,0.5390384615384616,0.5326923076923077,0.5181153846153846
12,20260833,260,0.0044217705726623535,0.005964100360870361,0.5332692307692307,0.530673076923077,0.5193846153846153
13,20260834,260,0.004188422113656998,0.005797326564788818,0.5361538461538462,0.52875,0.5232307692307693
14,20260835,260,0.003013360546901822,0.004884779453277588,0.5211538461538462,0.5107692307692308,0.5105
15,20260836,260,0.0029348901007324457,0.004757881164550781,0.5415384615384615,0.5289423076923077,0.5156923076923077
16,20260837,260,0.003124796086922288,0.005025684833526611,0.5276923076923077,0.520673076923077,0.5162307692307693
17,20260838,260,0.0025711485650390387,0.004585385322570801,0.5326923076923077,0.5273076923076923,0.511576923076923
18,20260839,260,0.004749213811010122,0.0061078667640686035,0.5401923076923076,0.5366346153846154,0.5244230769230769
19,20260840,260,0.0034930494148284197,0.005254864692687988,0.5351923076923077,0.5271153846153847,0.5168461538461538
