query_id,char_count,token_count,unique_token_ratio,analyzed_token_count,stopword_fraction,digit_token_fraction,punctuation_fraction,question_mark,mean_idf,max_idf,min_idf,idf_oov_fraction,wh_what,wh_who,wh_when,wh_where,wh_why,wh_how,wh_which,wh_whom
test5,38.0,8.0,0.875,4.0,0.5,0.0,0.0,0.0,5.483955320815318,8.020250334806725,2.8257159804839636,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test6,49.0,8.0,0.875,6.0,0.25,0.0,0.0,0.0,6.25515518518428,8.072648816217772,3.0369273608098353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test8,38.0,8.0,1.0,3.0,0.625,0.0,0.0,0.0,3.8335655946419327,4.056508147248258,3.672328198447704,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test10,54.0,11.0,1.0,6.0,0.4545454545454546,0.0,0.0,0.0,5.961445921720262,10.078922115000175,2.2182450660927935,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test11,50.0,10.0,1.0,5.0,0.5,0.0,0.02,0.0,4.825718114786181,5.849205263052276,4.104388987718997,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test15,47.0,9.0,1.0,5.0,0.4444444444444444,0.0,0.0,0.0,5.036159672359608,7.059690352268678,2.61524293407979,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test17,37.0,8.0,1.0,4.0,0.5,0.0,0.0,0.0,4.51819687772967,6.286583952518009,3.672328198447704,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test18,50.0,9.0,1.0,6.0,0.33333333333333337,0.0,0.0,0.0,3.8318203125551604,6.997012145205132,2.256543270872133,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test26,80.0,12.0,1.0,7.0,0.41666666666666663,0.08333333333333333,0.0125,0.0,5.362059444968317,10.984163010687745,2.319230227468961,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test27,47.0,8.0,1.0,4.0,0.5,0.0,0.0,0.0,4.69342745792536,7.029333168655474,2.2182450660927935,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test29,39.0,8.0,1.0,5.0,0.375,0.0,0.0,0.0,5.325951712425333,8.095624433873242,2.935434413658972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test32,33.0,8.0,1.0,3.0,0.625,0.0,0.0,0.0,5.250577459394464,7.386399248850001,2.577479098227116,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test33,45.0,8.0,1.0,5.0,0.375,0.0,0.0,0.0,4.027391927629057,5.07718555672886,3.0186288845097167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test35,47.0,9.0,0.8888888888888888,4.0,0.5555555555555556,0.0,0.0,0.0,5.541021370132347,6.276813186849718,4.746847651654005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test37,37.0,8.0,1.0,3.0,0.625,0.0,0.0,0.0,5.191758594281365,7.137763363704684,3.4064785646786397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test39,59.0,10.0,0.9,6.0,0.4,0.0,0.0,0.0,4.393827086901497,5.618238347503017,3.0730766855315736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test41,49.0,9.0,1.0,6.0,0.33333333333333337,0.0,0.0,0.0,5.900081314374092,7.739255347101597,3.4088658053414465,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test42,54.0,9.0,1.0,6.0,0.33333333333333337,0.0,0.0,0.0,5.562878385981435,8.144506345370598,2.9974264367119225,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test44,31.0,7.0,1.0,4.0,0.4285714285714286,0.0,0.03225806451612903,0.0,5.0496722839473165,6.746876347582666,3.105491461343404,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test47,45.0,8.0,1.0,6.0,0.25,0.0,0.0,0.0,4.461187567213525,5.304065414798011,3.4215616872395604,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
test50,47.0,8.0,1.0,4.0,0.5,0.0,0.0,0.0,5.008094663368351,6.778814546052743,4.037282120284835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test52,37.0,9.0,0.8888888888888888,4.0,0.5555555555555556,0.0,0.0,0.0,5.128242364251397,6.341146682209539,3.861216596318512,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test54,50.0,11.0,1.0,5.0,0.5454545454545454,0.0,0.0,0.0,3.671083626739575,4.488150746454959,2.2182450660927935,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test56,43.0,8.0,0.875,4.0,0.5,0.0,0.0,0.0,4.1573148628886045,6.65531113850112,2.393480405732666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test59,46.0,8.0,0.875,3.0,0.625,0.0,0.0,0.0,6.317124384870428,8.395820773651502,4.8110410466918205,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test60,43.0,8.0,0.875,4.0,0.5,0.0,0.0,0.0,6.441567301973757,8.545166062203823,3.927599397298165,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
