queries,candidate_id,split_seed,model_seeds,source,gain_over_fixed_dense,gain_ci95_lower,gain_ci95_upper,switch_coverage,beneficial_gain_mass,harmful_loss_mass,harmful_to_beneficial_mass_ratio,gap_spearman,non_tie_auc,calibration_slope,top_decile_realized_gap
1200,M2_raw_full_xgb_mse,20260901,11;23;37;53;71,stage8_fit,-0.003631766381766382,-0.008082946615056706,0.0003757147753707384,0.016666666666666666,0.0013148148148148149,0.004946581196581197,3.7621885157096426,-0.056106292185392356,0.4362353021602406,-0.9480089839259669,-0.08643430643430644
1200,M2_raw_full_xgb_mse,20260917,11;23;37;53;71,stage8_fit,0.0,0.0,0.0,0.0,0.0,0.0,,0.01534813842603141,0.510630298058518,-1.4217033294167174,-0.07300631832430078
1200,M2_raw_full_xgb_mse,20261003,11;23;37;53;71,stage8_fit,0.0,0.0,0.0,0.0,0.0,0.0,,-0.01317961890349989,0.49200164068908936,-1.5872512219045511,-0.06634838926505593
1200,M3_pca32_structured_ridge,20260901,11,stage8_fit,-0.0006666666666666668,-0.0020016680567139285,0.0,0.0008333333333333334,0.0,0.0006666666666666668,,-0.0021885742369617,0.49328342904019684,-0.40951395884933184,-0.04836692628359295
1200,M3_pca32_structured_ridge,20260917,11,stage8_fit,0.0,0.0,0.0,0.0008333333333333334,0.0,0.0,,0.0476814795237057,0.5400601585999453,1.3983265626766348,-0.05710466434150645
1200,M3_pca32_structured_ridge,20261003,11,stage8_fit,-0.0006296296296296296,-0.002780094523213789,0.0009722424937447874,0.013333333333333334,0.000537037037037037,0.0011666666666666665,2.172413793103448,0.008598013520830753,0.5112797374897458,-0.001696406945256795,-0.04139870755856613
1200,M4_oof_late_fusion,20260901,11,stage8_fit,0.0,0.0,0.0,0.0,0.0,0.0,,-0.03151374131843343,0.47320207820617993,-3.109481518550239,-0.11400336667880527
1200,M4_oof_late_fusion,20260917,11,stage8_fit,0.0,0.0,0.0,0.0008333333333333334,0.0,0.0,,-0.03126134008470965,0.46147798742138363,-2.43988204462528,-0.06894131493912196
1200,M4_oof_late_fusion,20261003,11,stage8_fit,0.0,0.0,0.0,0.0025,0.0,0.0,,-0.011904709362141353,0.47986737763193876,-0.7822872073008146,-0.04579297245963913
1200,M0_structured_xgb_mse,20260901,11;23;37;53;71,stage8_fit,0.00040123456790123454,-0.0020987654320987655,0.0029012345679012346,0.0033333333333333335,0.0012345679012345679,0.0008333333333333334,0.675,0.02192744631945714,0.5129546076018594,1.2488036739197588,-0.006148018648018649
